StationCode,threshold
DEFAULT,0.13
21MABCH-MA289542-2,0.08
21MABCH-MA289542-1,0.08
21MABCH-MA289542-3,0.08
21MABCH-MA738501,0.08
21MABCH-MA780232,0.08
21MABCH-MA187787,0.08
21MABCH-MA957964-1,0.18
21MABCH-MA203090-1,0.18
21MABCH-MA562850-1,0.18
21MABCH-MA957964,0.18
21MABCH-MA203090,0.18
21MABCH-MA715607,0.18
21MABCH-MA562850,0.18
21MABCH-MA259042-1,0.14
21MABCH-MA259042,0.14
21MABCH-MA124463-1,0.17
21MABCH-MA124463,0.17
21MABCH-MA544995-3,0.24
21MABCH-MA544995-2,0.24
21MABCH-MA544995-1,0.24
21MABCH-MA984037-1,0.24
21MABCH-MA924979,0.24
21MABCH-MA446515,0.24
21MABCH-MA737501,0.24
21MABCH-MA565550,0.24
21MABCH-MA579166,0.24
21MABCH-MA984037,0.24
